dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,f32,44.91199327592879,44.91199327592879,3.565756619259546,0.5657581492225733,0.09143327116597179,0.07649558998819918,4.069238260498903,6.7016410882655295,0.11491834627218646,0.06114485220820194,0.04807719960315349,Transport,1
loop_seattle/5T/medium,f32,71.53817321336429,71.53817321336429,4.838838454995485,0.7692743703440761,0.15159198867278204,0.11072042424725378,5.719021655499074,8.45802419087131,0.1504856322789247,0.08609288031848926,0.06795084792957519,Transport,1
loop_seattle/5T/long,f32,82.2427645912166,82.2427645912166,5.123748853342507,0.8116398192794254,0.15788637654440432,0.11669032712683133,6.182418522158755,9.068779663836617,0.1603378921274076,0.09058893493808892,0.07180476479190182,Transport,1
loop_seattle/D/short,f32,18.866997226522187,18.866997226522187,2.9479166666666665,0.889253091121181,0.05476874163522317,0.05435879329459435,8.501259791718908,4.3436156858684205,0.07762621266785816,0.0526832074113479,0.043345576954828095,Transport,1
loop_seattle/H/short,f32,58.08407125835099,58.08407125835099,4.015181141708761,0.8165890945947806,0.11382488258813091,0.09265974725639758,6.52006887918177,7.621290655679718,0.1349045947983889,0.07107278929989103,0.05692771746374148,Transport,1
loop_seattle/H/medium,f32,64.68934468524252,64.68934468524252,4.324700077399381,0.8855804844459844,0.12302777710590815,0.09923262257483,6.507525181362493,8.04296864877904,0.14215857070835355,0.07643858985310485,0.060584692564708,Transport,1
loop_seattle/H/long,f32,61.74544633642931,61.74544633642931,4.1913350318197455,0.8757308843982844,0.13325615231015653,0.09753988827863126,6.8344932650013615,7.857827074734421,0.14042985758570664,0.07490475114996382,0.0592723649839973,Transport,1
m_dense/D/short,f32,9043.86074074074,9043.86074074074,48.128744212962964,0.688168030628496,0.12423926622802191,0.100766618508755,6.90449035459529,95.099215247765,0.1646308086105153,0.08331797540647914,0.06823990506060396,Transport,1
m_dense/H/short,f32,47897.08888888889,47897.08888888889,91.3463888888889,0.8114223894154707,0.29268547128861305,0.21372149263297766,9.35447912459712,218.8540355782568,0.38819254809382725,0.16202574180665646,0.1341630198930528,Transport,1
m_dense/H/medium,f32,36091.42444444444,36091.42444444444,78.29698784722223,0.682277479383348,0.26482155261392937,0.18953068488971161,8.121797335700805,189.97743140816607,0.330536749520413,0.13622687531055688,0.11338500339790139,Transport,1
m_dense/H/long,f32,34579.026172839505,34579.026172839505,78.18479938271605,0.6780586342380205,0.25943899554746275,0.188101247060321,7.958263388938968,185.9543658343076,0.3219145307131072,0.1353494600100535,0.11266454906617995,Transport,1
sz_taxi/15T/short,f32,16.630250066773506,16.630250066773506,2.7332601768484337,0.5454764356364563,1207242167257.3596,0.39623046903015097,3.8567884077672625,4.0780203612504815,0.381312366004447,0.2555715304521486,0.20070715967399128,Transport,1
sz_taxi/15T/medium,f32,16.2010016025641,16.2010016025641,2.730808877537393,0.532628033511332,8916821983260.008,0.4043504177066997,3.6927303920160917,4.025046782655339,0.37459775810987106,0.25414732761868514,0.20002003866255902,Transport,1
sz_taxi/15T/long,f32,15.33270121082621,15.33270121082621,2.6501521879451566,0.5006558794803788,5739830391677.885,0.39337614372662466,3.528345544499696,3.915699325896488,0.36243015450242216,0.24529336575453037,0.19398605969203797,Transport,1
sz_taxi/H/short,f32,7.168428339509883,7.168428339509883,1.8403600709051149,0.5604295800588817,1.3118737375634348,0.2967349761785786,4.024108568854403,2.677392078032256,0.24941559395476923,0.17144089726028927,0.13539703657905522,Transport,1
