dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,q8_0,44.90812406274188,44.90812406274188,3.5651872916364327,0.5656730483241647,0.09142998517236227,0.0764823139206422,4.069550230128187,6.701352405503077,0.11491339600027227,0.06113508949664017,0.048073589513062315,Transport,1
loop_seattle/5T/medium,q8_0,71.49880200270898,71.49880200270898,4.836545810758514,0.7689241575954898,0.15157235884691048,0.11067255737680497,5.7182812364523325,8.455696423282294,0.15044421650976558,0.08605208946594434,0.06792264419679578,Transport,1
loop_seattle/5T/long,q8_0,82.19599873867676,82.19599873867676,5.121258313266827,0.8112747075376355,0.15787226056358217,0.11663790430795615,6.182663582145211,9.066200898870306,0.1602922990317192,0.09054490167663637,0.07177525979176202,Transport,1
loop_seattle/D/short,q8_0,18.865686274509805,18.865686274509805,2.9480222845717234,0.8892951212660261,0.05477122335365067,0.05435849066635686,8.495049674451275,4.343464777629698,0.07762351573611291,0.05268509494435092,0.04333873162751993,Transport,1
loop_seattle/H/short,q8_0,58.09868675655858,58.09868675655858,4.014662281550431,0.8164989519011645,0.11380856212350549,0.09264818541925093,6.517529357932179,7.622249455151581,0.13492156652405696,0.07106360494745273,0.05692017378083916,Transport,1
loop_seattle/H/medium,q8_0,64.69666537667699,64.69666537667699,4.323181114551083,0.8852732405713153,0.12300623528605521,0.09920435294324796,6.506763255840315,8.043423734746106,0.14216661430188882,0.07641174235476159,0.06056548686443261,Transport,1
loop_seattle/H/long,q8_0,61.75816993464052,61.75816993464052,4.190421020381837,0.8755335189843775,0.13324713246044032,0.09751755037927902,6.83217529333801,7.858636646050034,0.14044432570564305,0.07488841654564683,0.059260270302403946,Transport,1
m_dense/D/short,q8_0,9038.847407407407,9038.847407407407,48.116770833333334,0.6880349253209002,0.12421648550068917,0.10074736113585593,6.904425150478847,95.0728531569733,0.16458517193189082,0.0832972477152454,0.06822629367611749,Transport,1
m_dense/H/short,q8_0,47987.68,47987.68,91.37005208333333,0.8114880651687738,0.29267852551251655,0.21370818799774208,9.368055973797762,219.06090477307905,0.38855948251954153,0.16206771441969584,0.1342030693164977,Transport,1
m_dense/H/medium,q8_0,36186.87111111111,36186.87111111111,78.35340277777777,0.6828515268191164,0.26476235051128844,0.18958669551836455,8.135030895531735,190.22847082156528,0.3309735264106543,0.13632503016838413,0.1134795400942691,Transport,1
